"nom_local","des_local","oid_falha","des_tipo_falha","des_atributo_falha","des_disfuncao_processo","des_falha","idc_detalhes_falha","dth_inicial_realizado","dth_final_realizado"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","743573","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","atraso no p8 devido eps sem comunicação","2/8/2020 11:48","2/8/2020 11:57"
"LAMINAÇÃO","LAMINAÇÃO","723907","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema SIGMA do laminador saiu do ar bloqueando o usuário robô. Foi necessário ligar para o 2001 para liberar usuário.","11/20/2019 10:43","11/20/2019 10:58"
"LAMINAÇÃO","LAMINAÇÃO","723910","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema SIGMA do laminador saiu do ar bloqueando o usuário robô. Foi necessário ligar para o 2001 para liberar usuário.","11/20/2019 10:59","11/20/2019 11:07"
"LAMINAÇÃO","LAMINAÇÃO","723911","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema SIGMA do laminador saiu do ar bloqueando o usuário robô. Foi necessário ligar para o 2001 para liberar usuário.","11/20/2019 10:53","11/20/2019 11:00"
"LAMINAÇÃO","LAMINAÇÃO","723919","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema SIGMA do laminador saiu do ar bloqueando o usuário robô. Foi necessário ligar para o 2001 para liberar usuário.","11/20/2019 11:08","11/20/2019 11:13"
"LAMINAÇÃO","LAMINAÇÃO","730193","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","","1/6/2020 15:41","1/6/2020 16:00"
"LAMINAÇÃO","LAMINAÇÃO","730209","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Separação no leito de a dobrar para barra reta. Foi necessário uma separação no leito pq o MES estava travado não contabilizando a quantidade de peças.","1/6/2020 16:21","1/6/2020 16:26"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","732461","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Falha na impressora ao imprimir etiqueta devido falha de comunicação","1/11/2020 11:56","1/11/2020 12:01"
"LAMINAÇÃO","LAMINAÇÃO","732750","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no mês, o mesmo travou.","1/12/2020 2:03","1/12/2020 2:10"
"LAMINAÇÃO","LAMINAÇÃO","732760","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no mês, o mesmo travou.","1/12/2020 2:23","1/12/2020 2:29"
"LAMINAÇÃO","LAMINAÇÃO","732761","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no mês, o mesmo travou.","1/12/2020 2:29","1/12/2020 2:32"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","734581","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","falha na comunicação na balança do p8.","1/16/2020 12:19","1/16/2020 12:24"
"LAMINAÇÃO","LAMINAÇÃO","737965","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no sigma.","1/24/2020 15:01","1/24/2020 15:23"
"LAMINAÇÃO","LAMINAÇÃO","737971","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no sigma.","1/24/2020 15:23","1/24/2020 15:26"
"LAMINAÇÃO","LAMINAÇÃO","737974","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no sigma.","1/24/2020 15:28","1/24/2020 15:32"
"LAMINAÇÃO","LAMINAÇÃO","737979","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","perda de comunicação no sigma.","1/24/2020 15:33","1/24/2020 15:43"
"LAMINAÇÃO","LAMINAÇÃO","738223","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Supervisório do controle do laminador ""SIGMA"" com perda de comunicação causando o travamento do controle.","1/25/2020 3:44","1/25/2020 4:20"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","738454","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Falha na impressão de etiqueta devido perda de comunicação com","1/25/2020 19:09","1/25/2020 19:19"
"LAMINAÇÃO","","757561","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","","3/15/2020 16:15","3/15/2020 16:23"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","754408","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Impressora do pult-8 com falha ao imprimir etiqueta.","3/6/2020 22:07","3/6/2020 22:17"
"LAMINAÇÃO","LAMINAÇÃO","753877","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SIGMA com perda de comunicação com o servidor da laminação.","3/5/2020 9:13","3/5/2020 9:29"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","747822","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Falha na impressão de etiqueta devido perda de comunicação","2/18/2020 1:50","2/18/2020 2:14"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","758916","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Perda de comunicação da balança e EPS no p8.","3/19/2020 9:27","3/19/2020 9:45"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","758918","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Perda de comunicação da balança e EPS no p8.","3/19/2020 9:46","3/19/2020 9:50"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","758919","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Perda de comunicação da balança e EPS no p8.","3/19/2020 9:50","3/19/2020 9:54"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","758128","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","eps sem gerar etiqueta","3/17/2020 3:40","3/17/2020 3:45"
"LAMINAÇÃO","LAMINAÇÃO","760363","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","MES com perda de comunicação.","3/23/2020 12:28","3/23/2020 12:33"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","774068","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","sistema eps sem comunicação com a balança","5/11/2020 0:08","5/11/2020 0:24"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","774073","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","sistema eps sem comunicação com a balança","5/11/2020 0:29","5/11/2020 0:36"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","770150","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","sistema eps sem gerar etiqueta","5/1/2020 11:35","5/1/2020 13:29"
"LAMINAÇÃO","LAMINAÇÃO","769524","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","MES-EPS com problema no servidor.","4/30/2020 0:27","4/30/2020 2:23"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","771463","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS travando devido perda de comunicação.(TI)","5/4/2020 10:02","5/4/2020 10:08"
"LAMINAÇÃO","LAMINAÇÃO","645209","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","aguardando liberação do servidor pelo TI (tecnologia da Informação).","5/6/2019 21:00","5/7/2019 0:32"
"LAMINAÇÃO","LAMINAÇÃO","645210","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","aguardando liberação do servidor pelo TI (tecnologia da Informação).","5/7/2019 0:32","5/7/2019 1:59"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","638056","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","etiqueta do 3/4 pol com erro na máscara.","4/19/2019 4:09","4/19/2019 4:16"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","638058","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","etiqueta do 3/4 pol com erro na máscara.","4/19/2019 4:17","4/19/2019 5:47"
"LAMINAÇÃO","LAMINAÇÃO","627127","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","MES travado devido supervisório do OFAG sem comunicação com o MES.","3/22/2019 2:05","3/22/2019 2:10"
"LAMINAÇÃO","LAMINAÇÃO","627135","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","MES travado devido supervisório do OFAG sem comunicação com o MES.","3/22/2019 2:14","3/22/2019 2:18"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","625283","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","etiqueta faltando dados.( senso impressa fora do padrão)","3/17/2019 14:16","3/17/2019 15:21"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","631278","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema EPS sem comunicação não gerando etiquetas no enfeixamento.","4/1/2019 3:18","4/1/2019 3:23"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","654167","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS SEM GERAR ETIQUETA","5/28/2019 15:27","5/28/2019 15:50"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","654091","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","repesar feixe devido perda de comunicação com o eps.","5/28/2019 11:21","5/28/2019 11:36"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","673581","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Falha na impressão de etiqueta sendo necessário reiniciar o terminal acoplado a impressora.","7/13/2019 12:43","7/13/2019 12:49"
"LAMINAÇÃO","PULT 04 (CENTRAL)","671957","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Supervisório do SIGMA sem sinal de rede.","7/9/2019 21:00","7/9/2019 22:22"
"LAMINAÇÃO","SERVIDOR DO SIGMA","662682","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO NO SUPERVISÓRIO DO LAMINADOR (SIGMA).","6/17/2019 10:54","6/17/2019 11:04"
"LAMINAÇÃO","PULT 04 (CENTRAL)","662869","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SIGMA com perda de comunicação com a rede.","6/17/2019 14:00","6/17/2019 17:58"
"LAMINAÇÃO","PULT 04 (CENTRAL)","662870","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SIGMA com perda de comunicação com a rede. Na ocasião foi necessário passa um cabo de rede por fora conectado direto com o switch da CISCO.","6/17/2019 21:00","6/17/2019 22:48"
"LAMINAÇÃO","SERVIDOR DO SIGMA","662692","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO NO SUPERVISÓRIO DO LAMINADOR (SIGMA).","6/17/2019 11:04","6/17/2019 11:37"
"LAMINAÇÃO","SERVIDOR DO SIGMA","662699","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO NO SUPERVISÓRIO DO LAMINADOR (SIGMA).","6/17/2019 11:38","6/17/2019 12:11"
"LAMINAÇÃO","SERVIDOR DO SIGMA","662710","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO NO SUPERVISÓRIO DO LAMINADOR (SIGMA).","6/17/2019 12:12","6/17/2019 12:24"
"LAMINAÇÃO","SERVIDOR DO SIGMA","662261","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO NO SUPERVISÓRIO DO LAMINADOR (SIGMA).","6/16/2019 12:11","6/16/2019 12:27"
"LAMINAÇÃO","SERVIDOR DO SIGMA","662266","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO NO SUPERVISÓRIO DO LAMINADOR (SIGMA).","6/16/2019 12:27","6/16/2019 12:39"
"LAMINAÇÃO","PULT 04 (CENTRAL)","662505","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Terminais do SIGMA no pult-central com falha de conexão.","6/17/2019 1:32","6/17/2019 1:47"
"LAMINAÇÃO","PULT 04 (CENTRAL)","662512","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Terminais do SIGMA no pult-central com falha de conexão.","6/17/2019 1:48","6/17/2019 2:05"
"LAMINAÇÃO","LAMINAÇÃO","661940","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","sistema sigma sem comunicação","6/15/2019 18:55","6/15/2019 19:07"
"LAMINAÇÃO","SERVIDOR DO SIGMA","661200","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","ATRASO NA CALIBRAÇÃO DO TREM MÉDIO E ACABADOR DEVIDO A PERDA DE COMUNICAÇÃO DA REDE DO SIGMA. (SUPERVISORIO).","6/13/2019 21:00","6/13/2019 21:51"
"LAMINAÇÃO","SERVIDOR DO SIGMA","661219","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO DA REDE DO SIGMA. (SUPERVISORIO).","6/13/2019 22:55","6/13/2019 23:55"
"LAMINAÇÃO","SERVIDOR DO SIGMA","661217","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","PERDA DE COMUNICAÇÃO DA REDE DO SIGMA. (SUPERVISORIO).","6/13/2019 23:55","6/14/2019 1:36"
"LAMINAÇÃO","LAMINAÇÃO","661432","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SIGMA TRAVADO.","6/14/2019 13:12","6/14/2019 13:30"
"LAMINAÇÃO","LAMINAÇÃO","661447","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SIGMA TRAVADO.","6/14/2019 13:53","6/14/2019 14:00"
"LAMINAÇÃO","LAMINAÇÃO","661362","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SISTEMA SIGMA TRAVADO.","6/14/2019 9:43","6/14/2019 10:28"
"LAMINAÇÃO","LAMINAÇÃO","661368","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","SISTEMA SIGMA TRAVADO.","6/14/2019 9:55","6/14/2019 10:00"
"LAMINAÇÃO","LAMINAÇÃO","659887","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","MANUTENÇÃO DE REDE.","6/10/2019 21:00","6/10/2019 21:41"
"LAMINAÇÃO","PULT 07 - SAIDA DO LEITO RESFRIAMENTO","618664","UTILIDADES","-","-","UTILIDADES - -","Equipamentos do pult-7 sem funcionar devido baixa pressão de Ar-comprimido.","3/1/2019 15:59","3/1/2019 16:09"
"LAMINAÇÃO","SISTEMA DE ACUMULAÇÃO DE AR","601769","UTILIDADES","-","-","UTILIDADES - -","1º Barra ao ser laminada no V1 ao despontada bateu no flap da calha seca após T1A. Ao analisar identificou que o flap já estava abaixado. Foi testado os equipamento associado ao acionamento do flap porem não encontrou evidências  conclusivas que relacione a falha. OBS: E possível que haja associação com o fato do problema da baixa pressão de Ar-comprimido.","1/16/2019 23:39","1/17/2019 0:13"
"LAMINAÇÃO","LAMINAÇÃO","601798","UTILIDADES","-","-","UTILIDADES - -","Equipamentos pneumático com funcionamento deficiente devido baixa pressão de Ar-comprimido.","1/17/2019 0:59","1/17/2019 1:17"
"LAMINAÇÃO","SISTEMA DE ACUMULAÇÃO DE AR","601815","UTILIDADES","-","-","UTILIDADES - -","Baixa pressão de Ar-comprimido devido baixo rendimento dos compressores.","1/17/2019 1:45","1/17/2019 1:58"
"LAMINAÇÃO","LAMINAÇÃO","606576","UTILIDADES","-","-","UTILIDADES - -","falta de ar-comprimido no laminador","1/28/2019 15:43","1/28/2019 17:19"
"LAMINAÇÃO","LAMINAÇÃO","622884","UTILIDADES","-","-","UTILIDADES - -","Desligamento das zonas 1, 2 e 3 do forno devido a baixa pressão de ar comprimido.","3/12/2019 3:15","3/12/2019 3:23"
"LAMINAÇÃO","LAMINAÇÃO","711438","UTILIDADES","-","-","UTILIDADES - -","Inundação nas bombas de água suja do laminador devido desligamento do Trafo(infiltração de água na sala causado pelo aparelhos de Ar-condicionado).","10/14/2019 21:00","10/14/2019 21:35"
"LAMINAÇÃO","LAMINAÇÃO","743395","UTILIDADES","-","-","UTILIDADES - -","Baixa pressão de ar comprimido na linha do laminador(falha nos compressores).","2/8/2020 0:54","2/8/2020 1:56"
"LAMINAÇÃO","LAMINAÇÃO","743414","UTILIDADES","-","-","UTILIDADES - -","Baixa pressão de ar comprimido na linha do laminador(falha nos compressores).","2/8/2020 2:07","2/8/2020 2:27"
"LAMINAÇÃO","UTILIDADES","630506","UTILIDADES","-","-","UTILIDADES - -","Pressão de Ar-comprimido a menos de 3kg devido 3 compressores parado.","3/30/2019 4:17","3/30/2019 4:20"
"LAMINAÇÃO","UTILIDADES","630518","UTILIDADES","-","-","UTILIDADES - -","Falha nos equipamentos pneumático devido pressão de Ar-comprimido a menos de 3kg devido 3 compressores parado.","3/30/2019 5:02","3/30/2019 5:23"
"LAMINAÇÃO","UTILIDADES","632434","UTILIDADES","-","-","UTILIDADES - -","Baixa pressão na linha de ar comprimido da laminação(desligamento dos compressores 4 e 5 devido a aquecimento).","4/4/2019 7:24","4/4/2019 7:46"
"LAMINAÇÃO","UTILIDADES","632424","UTILIDADES","-","-","UTILIDADES - -","Baixa pressão na linha de ar comprimido da laminação(desligamento dos compressores 4 e 5 devido a aquecimento).","4/4/2019 6:35","4/4/2019 6:44"
"LAMINAÇÃO","UTILIDADES","632477","UTILIDADES","-","-","UTILIDADES - -","Baixa pressão na linha de ar comprimido da laminação(desligamento dos compressores 4 e 5 devido a aquecimento).","4/4/2019 10:32","4/4/2019 10:40"
"LAMINAÇÃO","UTILIDADES","639782","UTILIDADES","-","-","UTILIDADES - -","BAIXA PRESSÃO NA ÁGUA INDUSTRIAL.","4/23/2019 14:35","4/23/2019 15:19"
"LAMINAÇÃO","SISTEMA WB LAMINAÇÃO","643575","UTILIDADES","-","-","UTILIDADES - -","BAIXO NÍVEL DE ÁGUA LIMPA.","5/3/2019 3:39","5/3/2019 3:57"
"LAMINAÇÃO","SISTEMA DE ACUMULAÇÃO DE AR","655883","UTILIDADES","-","-","UTILIDADES - -","Baixo nível de Ar-comprimido devido compressor 1 e 3 desarmado com temperatura de óleo alta.","6/1/2019 13:29","6/1/2019 13:38"
"LAMINAÇÃO","TRANSFERIDOR DE CORRENTES TC-1 ENFEIX.","672259","UTILIDADES","-","-","UTILIDADES - -","Piloto da válvula do TC1 sem funcionar.","7/10/2019 16:36","7/10/2019 16:44"
"LAMINAÇÃO","ACIONAMENTO TRANFERIDOR TC-1 ENFEIX.","672390","UTILIDADES","-","-","UTILIDADES - -","TC-1 SEM FUNCIONAR DEVIDO A DEFEITO NA VÁLVULA DIRECIONAL(EXCESSO DE CONDENSADO NA LINHA DE AR COMPRIMIDO).","7/11/2019 0:19","7/11/2019 0:50"
